case,lead_best,matched_drug,null_median,drug_to_drug_median,p,beats_drug_to_drug
ABL1_SRC,78.4,imatinib,22.2,30.3,0.0164,True
AKT1_AKT2,23.3,capivasertib,23.3,28.1,0.6066,False
BRAF_V600E,21.2,vemurafenib,24.2,33.3,0.8525,False
BRAF_V600E_alt,21.2,vemurafenib,24.2,33.3,0.9344,False
CA2_CA1,38.5,acetazolamide,23.1,26.3,0.0984,True
CDK6_CDK2,21.9,ribociclib,18.9,35.1,0.3934,False
EGFR_T790M,58.6,erlotinib,24.1,35.0,0.0164,True
JAK2_JAK1,34.8,tofacitinib,26.1,39.1,0.3279,False
KRAS_G12C,17.1,sotorasib,17.1,37.2,0.8361,False
PARP1_PARP2,25.0,olaparib,29.2,33.3,1.0,False
PIK3CA_PIK3CD,23.3,duvelisib,23.3,26.7,0.6885,False
PTGS2_PTGS1,50.0,rofecoxib,27.3,45.5,0.082,True
